scenario,year,month,median,upper,lower
hist-nat,1901,Apr,-0.135174283209345,0.4121242767743363,-0.7887432656899154
hist-nat,1901,Aug,-0.48559808287204476,0.0014512071455331944,-1.0862216975599632
hist-nat,1901,Dec,0.708932120005251,1.1633601685685742,0.29935248149640226
hist-nat,1901,Feb,NA,NA,NA
hist-nat,1901,Jan,NA,NA,NA
hist-nat,1901,Jul,-0.9459514230780286,-0.20282223988299844,-1.7789192248022736
hist-nat,1901,Jun,-0.7845978741594735,-0.17994342840781238,-1.7023546071145148
hist-nat,1901,Mar,NA,NA,NA
hist-nat,1901,May,-0.3891162279227842,0.0555412988415699,-0.9570921216400763
hist-nat,1901,Nov,0.9000202216008404,1.4776294877441014,0.415477281217467
hist-nat,1901,Oct,0.7044590581840957,1.2208868217469033,0.19159301541308268
hist-nat,1901,Sep,0.024969048190801146,0.5261169368498525,-0.5060402395010236
hist-nat,1902,Apr,-0.08943043532265804,0.42223674361107727,-0.6373224486447047
hist-nat,1902,Aug,-0.632114034505495,-0.11922892543506813,-1.242691487163437
hist-nat,1902,Dec,0.6168673738630055,1.1945064010425217,0.056873948686411796
hist-nat,1902,Feb,0.09572963722847305,0.672996738773999,-0.47334245317228535
hist-nat,1902,Jan,0.4219983315845006,1.0187309883280327,-0.18902620066666664
hist-nat,1902,Jul,-1.0378055259540382,-0.2788098289039726,-1.980404157831375
hist-nat,1902,Jun,-0.7669831128964404,-0.16130461353851155,-1.6573128435956497
hist-nat,1902,Mar,-0.10613001451462623,0.49113567875854025,-0.7422564157535452
hist-nat,1902,May,-0.37891046170650355,0.16728600426570123,-0.9301394558171026
hist-nat,1902,Nov,0.9736934867190357,1.5031201628794693,0.5107112638983964
hist-nat,1902,Oct,0.7740211608187906,1.3390076724661837,0.26312504292358263
hist-nat,1902,Sep,0.03657218797305717,0.4070021401785856,-0.5177833504383486
hist-nat,1903,Apr,-0.177622240468029,0.5152021822481,-0.9017731242775319
hist-nat,1903,Aug,-0.5982952205661451,0.028762898232228155,-1.3150511364283026
hist-nat,1903,Dec,0.6758657240084176,1.1170607570784006,0.26271650975941724
hist-nat,1903,Feb,-0.16710792165266142,0.5463618834929329,-1.018243213238647
hist-nat,1903,Jan,0.2027238215908973,0.8441266025635703,-0.5910532225879398
hist-nat,1903,Jul,-0.8467987311700327,-0.11515144792665427,-1.746864480680319
hist-nat,1903,Jun,-0.8053419291779811,-0.17281040547042495,-1.5780795767921636
hist-nat,1903,Mar,-0.1463891181181367,0.46822717496366545,-0.8442764526834292
