Region,Scenario,Estimate_2048_2052,CI_2048_2052,PropPositive_2048_2052,Estimate_2096_2100,CI_2096_2100,PropPositive_2096_2100
"Sub-Saharan Africa
(continent-wide)",SSP1-RCP2.6,-0.086,"(-0.411, 0.169)",0.254,-0.094,"(-0.497, 0.160)",0.311
"Sub-Saharan Africa
(continent-wide)",SSP2-RCP4.5,-0.148,"(-0.570, 0.204)",0.223,-0.433,"(-1.371, 0.249)",0.122
"Sub-Saharan Africa
(continent-wide)",SSP5-RCP8.5,-0.244,"(-0.803, 0.261)",0.186,-1.893,"(-4.846, -0.065)",0.021
Southern Africa,SSP1-RCP2.6,0.321,"(-0.094, 0.836)",0.939,0.339,"(-0.062, 0.925)",0.945
Southern Africa,SSP2-RCP4.5,0.507,"(-0.055, 1.104)",0.962,0.844,"(-0.185, 1.940)",0.944
Southern Africa,SSP5-RCP8.5,0.846,"(-0.079, 1.810)",0.962,0.492,"(-2.313, 2.547)",0.703
West Africa,SSP1-RCP2.6,-0.448,"(-0.952, -0.135)",0.002,-0.449,"(-1.087, 0.065)",0.096
West Africa,SSP2-RCP4.5,-0.694,"(-1.290, -0.232)",0.001,-1.51,"(-3.045, -0.481)",0.001
West Africa,SSP5-RCP8.5,-1.041,"(-1.860, -0.358)",0.001,-4.246,"(-8.780, -1.519)",0
East Africa,SSP1-RCP2.6,0.112,"(-0.179, 0.466)",0.774,0.098,"(-0.248, 0.449)",0.806
East Africa,SSP2-RCP4.5,0.131,"(-0.268, 0.543)",0.75,0.131,"(-0.577, 0.846)",0.655
East Africa,SSP5-RCP8.5,0.157,"(-0.371, 0.688)",0.729,-0.603,"(-2.715, 0.951)",0.266
Central Africa,SSP1-RCP2.6,-0.035,"(-0.354, 0.205)",0.427,-0.06,"(-0.430, 0.242)",0.39
Central Africa,SSP2-RCP4.5,-0.021,"(-0.471, 0.385)",0.482,-0.231,"(-1.192, 0.514)",0.302
Central Africa,SSP5-RCP8.5,-0.109,"(-0.690, 0.444)",0.357,-1.433,"(-4.361, 0.371)",0.078
